"Meldejahr","STATIONS_ID","Geschlecht","Inzidenz","Jahrestemperatur","Jahresniederschlag","LandkreisID","Kreis","Bevölkerung_Insg","Bevölkerungsentwicklung","Bevölkerung","Bundesland","Wintertemperatur","Wintertemperatur_Vorjahr","Frühlingsniederschlag","Sommerniederschlag","Sommertemperatur","Gesamt_Inzidenz"
2019,"3946","männlich",114,9.73,500.8,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",1.78333333333333,1.01666666666667,38,39.9333333333333,16.46,263
2019,"3946","weiblich",149,9.73,500.8,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",1.78333333333333,1.01666666666667,38,39.9333333333333,16.46,263
2020,"3946","männlich",65,9.63,614.6,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",3.11,1.78333333333333,104.2,79.2,14.86,183
2020,"3946","weiblich",118,9.63,614.6,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",3.11,1.78333333333333,104.2,79.2,14.86,183
2021,"3946","männlich",89,8.46,698.2,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",0.5,3.11,68.9,94.7333333333333,15.85,218
2021,"3946","weiblich",129,8.46,698.2,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",0.5,3.11,68.9,94.7333333333333,15.85,218
2022,"3946","männlich",75,9.93,484.4,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",2.20666666666667,0.5,13.45,25.5,17.5366666666667,198
2022,"3946","weiblich",123,9.93,484.4,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",2.20666666666667,0.5,13.45,25.5,17.5366666666667,198
2023,"3946","männlich",71,10.04,638.4,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",2.75333333333333,2.20666666666667,43.5,53.1333333333333,16.3266666666667,188
2023,"3946","weiblich",117,10.04,638.4,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",2.75333333333333,2.20666666666667,43.5,53.1333333333333,16.3266666666667,188
2024,"3946","männlich",29,NA,NA,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",NA,NA,NA,NA,NA,63
2024,"3946","weiblich",34,NA,NA,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",NA,NA,NA,NA,NA,63
2010,"222","männlich",15,7.26,1194.5,"14524","Zwickau",310838,-0.19,151813,"Sachsen",-3.32,NA,92.15,130.133333333333,15.39,26
2010,"222","weiblich",11,7.26,1194.5,"14524","Zwickau",310838,-0.19,159025,"Sachsen",-3.32,NA,92.15,130.133333333333,15.39,26
2011,"222","männlich",14,9.16,729.8,"14524","Zwickau",310838,-0.19,151813,"Sachsen",1.09333333333333,-3.32,63.85,95.5,15.1733333333333,36
2011,"222","weiblich",22,9.16,729.8,"14524","Zwickau",310838,-0.19,159025,"Sachsen",1.09333333333333,-3.32,63.85,95.5,15.1733333333333,36
2012,"222","männlich",5,8.67,844.6,"14524","Zwickau",310838,-0.19,151813,"Sachsen",-0.696666666666667,1.09333333333333,80.2,84.3,15.85,25
2012,"222","weiblich",20,8.67,844.6,"14524","Zwickau",310838,-0.19,159025,"Sachsen",-0.696666666666667,1.09333333333333,80.2,84.3,15.85,25
2013,"222","männlich",6,8.22,985.4,"14524","Zwickau",310838,-0.19,151813,"Sachsen",0.56,-0.696666666666667,189.1,139.6,15.25,29
2013,"222","weiblich",23,8.22,985.4,"14524","Zwickau",310838,-0.19,159025,"Sachsen",0.56,-0.696666666666667,189.1,139.6,15.25,29
2014,"222","männlich",17,9.98,744.8,"14524","Zwickau",310838,-0.19,151813,"Sachsen",2.88333333333333,0.56,89.5,112.1,15.3866666666667,32
2014,"222","weiblich",15,9.98,744.8,"14524","Zwickau",310838,-0.19,159025,"Sachsen",2.88333333333333,0.56,89.5,112.1,15.3866666666667,32
2015,"222","männlich",20,9.7,766.6,"14524","Zwickau",310838,-0.19,151813,"Sachsen",2.94333333333333,2.88333333333333,53.8,72.2333333333333,15.8566666666667,44
2015,"222","weiblich",24,9.7,766.6,"14524","Zwickau",310838,-0.19,159025,"Sachsen",2.94333333333333,2.88333333333333,53.8,72.2333333333333,15.8566666666667,44
2016,"222","männlich",29,9.13,877.2,"14524","Zwickau",310838,-0.19,151813,"Sachsen",1.82666666666667,2.94333333333333,109.05,111.166666666667,16.08,63
2016,"222","weiblich",34,9.13,877.2,"14524","Zwickau",310838,-0.19,159025,"Sachsen",1.82666666666667,2.94333333333333,109.05,111.166666666667,16.08,63
2017,"222","männlich",25,9.16,909.2,"14524","Zwickau",310838,-0.19,151813,"Sachsen",0.506666666666667,1.82666666666667,60.65,76.8333333333333,16.4933333333333,59
